State,Transaction_amount
Andaman & Nicobar,1845310.0
Andhra Pradesh,892294000.0
Arunachal Pradesh,5184130.0
Assam,93491200.0
Bihar,375559000.0
Chandigarh,47479600.0
Chhattisgarh,206519000.0
Dadra and Nagar Haveli and Daman and Diu,17526400.0
Delhi,1320560000.0
Goa,18273800.0
Gujarat,878929000.0
Haryana,535579000.0
Himachal Pradesh,49871200.0
Jammu & Kashmir,78812600.0
Jharkhand,132182000.0
Karnataka,1496820000.0
Kerala,157312000.0
Ladakh,927251.0
Lakshadweep,61432.1
Madhya Pradesh,667057000.0
Maharashtra,2283570000.0
Manipur,6463180.0
Meghalaya,6028480.0
Mizoram,2199570.0
Nagaland,5361680.0
Odisha,331254000.0
Puducherry,9704750.0
Punjab,196019000.0
Rajasthan,868359000.0
Sikkim,4823940.0
Tamil Nadu,646028000.0
Telangana,831913000.0
Tripura,14079400.0
Uttar Pradesh,1201830000.0
Uttarakhand,124378000.0
West Bengal,964310000.0
